scenario,seed,clip_idx,path,n_frames,n_particles,duration_s,initial_height_m,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius_m,wind_x,wind_z,n_pinned,config_hash,wall_s,status
drape,0,0,data/cloth_trajectories/drape/clip_000000_000000.npz,1000,256,1.0,0.7910885061964363,0.930936014129161,0.3524791453292793,0.8622920571808583,0.23132702392002724,0.0,0.0,0,79a4991d78b4,11.856483625000692,OK
drape,1,1,data/cloth_trajectories/drape/clip_000001_000001.npz,1000,256,1.0,0.753546487410077,1.1351391088977805,0.49229741707058655,0.89324788381589,0.18118314520104853,0.0,0.0,0,7b9159c137fb,11.743966875001206,OK
wind,100,0,data/cloth_trajectories/wind/clip_000100_000000.npz,1000,256,1.0,1.0,0.0,-1.0,0.0,0.05,-2.8117120416971844,-1.951241031103167,2,daa2c64cd474,11.808918416994857,OK
wind,101,1,data/cloth_trajectories/wind/clip_000101_000001.npz,1000,256,1.0,1.0,0.0,-1.0,0.0,0.05,-2.413044080352326,2.9385691250886428,2,bd83acbb3fbf,11.997038083005464,OK
collision,200,0,data/cloth_trajectories/collision/clip_000200_000000.npz,1000,256,1.0,1.0,1.0440502431037413,0.2059803304884604,1.049175991413824,0.114226507387006,0.0,0.0,2,4dafc6413dd9,11.864496499998495,OK
collision,201,1,data/cloth_trajectories/collision/clip_000201_000001.npz,1000,256,1.0,1.0,1.1472201234637454,0.2976682697371662,1.0109899983602062,0.14735795147296987,0.0,0.0,2,ea7074f83fd5,11.963907666999148,OK
